Country_x,City,Latitude,Longitude,City_ID,Cloudiness,Country_y,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ni,rosita,13.883333300000002,-84.4,45,72,NI,1558378762,71,13.92,-84.4,84.12,4.41
mg,beloha,-25.1666667,45.05,46,100,MG,1558378762,85,-25.17,45.06,70.08,10.0
vc,port elizabeth,13.016666699999998,-61.2333333,47,20,US,1558378762,46,39.31,-74.98,93.0,12.75
za,port elizabeth,-33.917988,25.570066,47,20,US,1558378762,46,39.31,-74.98,93.0,12.75
za,port alfred,-33.590571999999995,26.891037,48,67,ZA,1558378763,69,-33.59,26.89,61.0,8.01
ph,garchitorena,13.8804,123.6946,49,59,PH,1558378763,75,13.88,123.7,84.3,6.11
us,kodiak,57.79,-152.40722219999998,50,1,US,1558378763,63,39.95,-94.76,53.01,8.05
ar,mar del plata,-38.002278000000004,-57.557539,51,5,AR,1558378763,33,-46.43,-67.52,50.1,18.52
ir,taybad,34.74,60.7756,52,78,IR,1558378763,18,34.74,60.78,80.16,4.88
mx,cabo san lucas,22.883333,-109.9,53,5,MX,1558378605,34,22.89,-109.91,91.0,11.41
pf,tiarei,-17.533333300000002,-149.33333330000002,54,20,PF,1558378764,70,-17.53,-149.33,84.2,10.29
ru,khatanga,71.966667,102.5,55,10,RU,1558378764,92,71.98,102.47,9.96,10.94
pe,pisco,-13.7,-76.2166667,56,0,PE,1558378764,30,-13.71,-76.2,75.99,11.41
ru,kolyvan,55.3053,82.7391,57,0,RU,1558378764,87,55.31,82.74,48.2,4.47
is,hofn,64.25,-15.216667000000001,58,90,IS,1558378764,81,64.25,-15.21,48.2,6.93
id,bontang,0.13333299999999998,117.5,59,54,ID,1558378765,99,0.12,117.47,74.22,2.62
ca,sault sainte marie,46.5,-84.333333,60,1,CA,1558378765,61,46.49,-84.36,50.0,14.99
ru,zhigansk,66.769722,123.37111100000001,61,97,RU,1558378765,84,66.77,123.37,27.24,8.77
ca,thompson,55.75,-97.866667,62,75,CA,1558378765,35,55.74,-97.86,57.2,3.36
us,thompson,41.958611100000006,-71.8630556,62,75,CA,1558378765,35,55.74,-97.86,57.2,3.36
ru,pevek,69.70083299999999,170.313333,63,93,RU,1558378765,71,69.7,170.27,26.16,4.65
gl,nanortalik,60.1166667,-45.216666700000005,64,29,GL,1558378766,72,60.14,-45.24,43.08,4.68
ru,bilibino,68.05,166.333333,65,93,RU,1558378766,89,68.06,166.44,27.6,6.29
ru,dikson,73.50694399999999,80.546389,66,12,RU,1558378766,85,73.51,80.55,20.22,12.15
lk,hambantota,6.116666700000001,81.1166667,67,40,LK,1558378766,100,6.12,81.12,80.6,3.36
pt,beja,38.015064,-7.863227,68,20,PT,1558378766,49,38.02,-7.87,71.6,14.99
br,fortuna,-5.683333,-44.066666999999995,69,20,ES,1558378767,77,38.18,-1.13,69.8,4.7
us,fortuna,40.5983333,-124.1561111,69,20,ES,1558378767,77,38.18,-1.13,69.8,4.7
cv,ponta do sol,17.2,-25.1,70,0,BR,1558378767,57,-20.63,-46.0,73.68,5.32
pt,ponta do sol,32.666667,-17.1,70,0,BR,1558378767,57,-20.63,-46.0,73.68,5.32
gl,qasigiannguit,68.8166667,-51.1833333,71,90,GL,1558378767,86,68.82,-51.19,33.8,4.7
ki,butaritari,3.0833333,172.81666669999998,72,55,KI,1558378767,77,3.07,172.79,83.94,9.13
us,virginia beach,36.8527778,-75.9783333,73,40,US,1558378597,48,36.85,-75.98,91.0,10.29
so,hobyo,5.3513889,48.525555600000004,74,91,SO,1558378767,71,5.35,48.53,83.58,13.49
bm,saint george,32.381666700000004,-64.6780556,75,40,GR,1558378768,33,39.45,22.34,75.2,11.41
us,saint george,37.1041667,-113.58333329999999,75,40,GR,1558378768,33,39.45,22.34,75.2,11.41
br,pontes e lacerda,-15.2,-59.36666700000001,76,41,BR,1558378768,41,-15.23,-59.33,88.44,3.71
